Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches,uid
36,Rui Silva\ea83bfa6,pt POR,GK,Betis,28-004,1994,14,14,1260,14.0,15,1.07,47,34,72.3,6,3,5,4,28.6,2,2,0,0,0.0,Matches,ea83bfa6
37,Unai Simón\5dcf3e90,es ESP,GK,Athletic Club,24-245,1997,19,19,1710,19.0,13,0.68,56,40,80.4,7,8,4,8,42.1,2,2,0,0,0.0,Matches,5dcf3e90
38,Antonio Sivera\9970da54,es ESP,GK,Alavés,25-184,1996,3,2,187,2.1,3,1.44,9,7,77.8,0,1,1,1,50.0,1,1,0,0,0.0,Matches,9970da54
39,David Soria\8f8c6934,es ESP,GK,Getafe,28-313,1993,23,23,2064,22.9,23,1.0,74,50,71.6,6,7,10,8,34.8,3,2,0,1,0.0,Matches,8f8c6934
40,Marc-André ter Stegen\6f51e382,de GER,GK,Barcelona,29-287,1992,20,20,1800,20.0,22,1.1,58,36,62.1,9,7,4,5,25.0,0,0,0,0,,Matches,6f51e382
41,Rúben Vezo\c67cd65c,pt POR,DF,Levante,27-292,1994,1,1,4,19.1,0,0.0,0,0,,0,1,0,0,0.0,0,0,0,0,,Matches,c67cd65c
42,Luca Zidane\c818c4d9,fr FRA,GKMF,Rayo Vallecano,23-274,1998,4,4,285,3.2,4,1.26,13,9,69.2,0,1,3,0,0.0,0,0,0,0,,Matches,c818c4d9
1,Emil Audero\649b01d8,it ITA,GK,Sampdoria,25-024,1997,20,20,1755,19.5,37,1.9,97,62,62.9,5,4,11,3,15.0,1,1,0,0,0.0,Matches,649b01d8
2,Vid Belec\4f8ce0e1,si SVN,GK,Salernitana,31-250,1990,20,20,1800,20.0,45,2.25,119,78,64.7,3,2,15,1,5.0,4,3,0,1,0.0,Matches,4f8ce0e1
3,Andrea Consigli\8cabdc1e,it ITA,GK,Sassuolo,35-015,1987,23,23,2070,23.0,39,1.7,83,50,60.2,7,8,8,2,8.7,6,6,0,0,0.0,Matches,8cabdc1e
4,Alessio Cragno\f554e29b,it ITA,GK,Cagliari,27-228,1994,21,21,1890,21.0,40,1.9,99,62,63.6,4,6,11,0,0.0,5,4,1,0,20.0,Matches,f554e29b
5,Bartłomiej Drągowski\085e71a7,pl POL,GK,Fiorentina,24-176,1997,5,5,376,4.2,6,1.44,16,11,68.8,2,0,3,1,20.0,2,1,1,0,50.0,Matches,085e71a7
6,Wladimiro Falcone\9f5a610b,it ITA,GK,Sampdoria,26-305,1995,5,4,405,4.5,4,0.89,28,24,85.7,1,1,2,1,25.0,0,0,0,0,,Matches,9f5a610b
7,Vincenzo Fiorillo\a2565f79,it ITA,GK,Salernitana,32-029,1990,2,2,180,2.0,5,2.5,8,3,37.5,0,0,2,0,0.0,0,0,0,0,,Matches,a2565f79
8,Luca Gemello\53e494ec,it ITA,GK,Torino,21-223,2000,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,53e494ec
9,Samir Handanović\74419746,si SVN,GK,Inter,37-212,1984,23,23,2070,23.0,19,0.83,77,61,79.2,16,5,2,10,43.5,3,3,0,0,0.0,Matches,74419746
10,Luca Lezzerini\c9c32262,it ITA,GK,Venezia,26-324,1995,5,5,405,4.5,8,1.78,37,29,78.4,1,1,3,0,0.0,0,0,0,0,,Matches,c9c32262
11,Niki Mäenpää\14a96e1c,fi FIN,GK,Venezia,37-019,1985,6,5,495,5.5,9,1.64,18,11,61.1,0,2,3,0,0.0,3,2,0,1,0.0,Matches,14a96e1c
12,Mike Maignan\fcb38f57,fr FRA,GK,Milan,26-223,1995,18,18,1620,18.0,16,0.89,63,49,77.8,12,3,3,7,38.9,2,2,0,0,0.0,Matches,fcb38f57
13,Alex Meret\9413b19f,it ITA,GK,Napoli,24-326,1997,4,4,360,4.0,2,0.5,13,11,84.6,4,0,0,2,50.0,0,0,0,0,,Matches,9413b19f
14,Vanja Milinković-Savić\9fa26bc2,rs SRB,GK,Torino,24-356,1997,22,22,1980,22.0,23,1.05,59,40,67.8,8,5,9,4,18.2,5,4,1,0,20.0,Matches,9fa26bc2
15,Lorenzo Montipò\c1d95617,it ITA,GK,Hellas Verona,25-356,1996,21,21,1890,21.0,34,1.62,82,51,61.0,8,6,7,2,9.5,2,2,0,0,0.0,Matches,c1d95617
16,Juan Musso\a111cf41,ar ARG,GK,Atalanta,27-281,1994,21,21,1852,20.6,25,1.21,72,47,65.3,12,6,3,6,28.6,1,0,0,1,,Matches,a111cf41
17,David Ospina\82b1198a,co COL,GK,Napoli,33-164,1988,20,20,1800,20.0,14,0.7,61,49,78.7,12,4,4,11,55.0,1,1,0,0,0.0,Matches,82b1198a
18,Daniele Padelli\cf1c23d8,it ITA,GK,Udinese,36-109,1985,2,2,180,2.0,8,4.0,11,3,27.3,0,0,2,0,0.0,0,0,0,0,,Matches,cf1c23d8
19,Ivor Pandur\457cb02f,hr CRO,GK,Hellas Verona,21-323,2000,3,3,270,3.0,6,2.0,14,9,64.3,1,0,2,0,0.0,1,1,0,0,0.0,Matches,457cb02f
20,Rui Patrício\79b0d6a0,pt POR,GK,Roma,33-361,1988,24,24,2160,24.0,30,1.25,89,62,69.7,12,3,9,9,37.5,4,3,1,0,25.0,Matches,79b0d6a0
21,Gianluca Pegolo\f058ed1f,it ITA,GK,Sassuolo,40-323,1981,1,1,90,1.0,3,3.0,5,2,40.0,0,0,1,0,0.0,0,0,0,0,,Matches,f058ed1f
22,Mattia Perin\4c62d0c8,it ITA,GK,Juventus,29-093,1992,3,3,270,3.0,4,1.33,8,4,50.0,2,0,1,1,33.3,0,0,0,0,,Matches,4c62d0c8
23,Ivan Provedel\277da414,it ITA,GK,Spezia,27-331,1994,17,17,1530,17.0,25,1.47,84,65,76.2,6,4,7,4,23.5,7,5,1,1,16.7,Matches,277da414
24,Boris Radunović\0dfce079,rs SRB,GK,Cagliari,25-261,1996,3,3,270,3.0,5,1.67,15,11,73.3,0,2,1,1,33.3,2,1,1,0,50.0,Matches,0dfce079
25,Pepe Reina\e358587b,es ESP,GK,Lazio,39-164,1982,15,15,1350,15.0,29,1.93,56,30,55.4,6,4,5,2,13.3,5,4,0,1,0.0,Matches,e358587b
26,Sergio Romero\1e26e376,ar ARG,GK,Venezia,34-354,1987,13,13,1170,13.0,25,1.92,79,59,72.2,3,3,7,3,23.1,3,3,0,0,0.0,Matches,1e26e376
27,Francesco Rossi\7b5f516f,it ITA,GK,Atalanta,30-290,1991,1,0,37,0.4,1,2.43,2,1,50.0,0,0,0,0,,0,0,0,0,,Matches,7b5f516f
28,Luigi Sepe\343f753a,it ITA,GK,Salernitana,30-279,1991,1,1,90,1.0,2,2.0,0,0,,0,1,0,0,0.0,2,2,0,0,0.0,Matches,343f753a
29,Marco Silvestri\0d422df7,it ITA,GK,Udinese,30-346,1991,21,21,1890,21.0,28,1.33,72,47,65.3,6,9,6,7,33.3,3,3,0,0,0.0,Matches,0d422df7
30,Salvatore Sirigu\10dc46f0,it ITA,GK,Genoa,35-030,1987,24,24,2160,24.0,45,1.87,121,80,65.3,1,11,12,5,20.8,4,3,1,0,25.0,Matches,10dc46f0
31,Łukasz Skorupski\ab4449d6,pl POL,GK,Bologna,30-282,1991,23,23,2070,23.0,37,1.61,108,79,71.3,8,4,11,8,34.8,6,6,0,0,0.0,Matches,ab4449d6
32,Marco Sportiello\ac4003af,it ITA,GK,Atalanta,29-277,1992,2,2,180,2.0,2,1.0,0,0,,0,1,1,1,50.0,2,2,0,0,0.0,Matches,ac4003af
33,Thomas Strakosha\339fe0e8,al ALB,GK,Lazio,26-329,1995,9,9,810,9.0,10,1.11,29,19,69.0,5,2,2,3,33.3,1,1,0,0,0.0,Matches,339fe0e8
34,Wojciech Szczęsny\01b8a2b2,pl POL,GK,Juventus,31-299,1990,21,21,1890,21.0,17,0.81,62,46,74.2,11,6,4,10,47.6,3,1,2,0,66.7,Matches,01b8a2b2
35,Ciprian Tătărușanu\b056e3da,ro ROU,GK,Milan,36-002,1986,6,6,540,6.0,10,1.67,21,14,61.9,4,1,1,1,16.7,3,2,1,0,33.3,Matches,b056e3da
36,Pietro Terracciano\e1b0a70d,it ITA,GK,Fiorentina,31-340,1990,19,18,1692,18.8,27,1.44,63,39,58.7,9,3,6,4,22.2,2,1,1,0,50.0,Matches,e1b0a70d
37,Guglielmo Vicario\77d6fd4d,it ITA,GK,Empoli,25-127,1996,24,24,2160,24.0,47,1.96,132,90,66.7,8,6,10,4,16.7,6,3,1,2,25.0,Matches,77d6fd4d
38,Jeroen Zoet\cc1a0c57,nl NED,GK,Spezia,31-036,1991,7,7,630,7.0,19,2.71,40,22,55.0,1,1,5,0,0.0,2,1,1,0,50.0,Matches,cc1a0c57
